iter	RMSE
0	2.223061538
1	2.214947378
2	2.208104187
3	2.201067608
4	2.194234851
5	2.187794113
6	2.18229049
7	2.176991117
8	2.171582053
9	2.166668239
10	2.162100469
11	2.157448875
12	2.153008339
13	2.148769205
14	2.144602787
15	2.140965686
16	2.137435111
17	2.134479606
18	2.131561767
19	2.12844731
20	2.125811574
21	2.12291691
22	2.120198912
23	2.11733445
24	2.114774528
25	2.112775422
26	2.110153459
27	2.108543987
28	2.106490325
29	2.104516357
30	2.102698871
31	2.101042625
32	2.099304749
33	2.097282727
34	2.096415563
35	2.09450052
36	2.092945293
37	2.091520375
38	2.09003147
39	2.088921571
40	2.087872591
41	2.086356725
42	2.085218055
43	2.084076994
44	2.082995355
45	2.081738854
46	2.080717587
47	2.080005528
48	2.079246663
49	2.078265534
50	2.077477123
51	2.076232024
52	2.075222283
53	2.074098445
54	2.0730254
55	2.072142868
56	2.071317051
57	2.070600956
58	2.069713831
59	2.068815908
60	2.067980275
61	2.067507689
62	2.066469766
63	2.065551978
64	2.065274239
65	2.064385664
66	2.063678963
67	2.062989013
68	2.062281278
69	2.061500683
70	2.06124272
71	2.06089702
72	2.06011879
73	2.05961141
74	2.058801429
75	2.057771891
76	2.056961777
77	2.056855547
78	2.056328731
79	2.055540332
80	2.05490973
81	2.054083849
82	2.053532491
83	2.053027798
84	2.052449324
85	2.052056922
86	2.051608789
87	2.051066519
88	2.050717181
89	2.050231516
90	2.049822863
91	2.049398737
92	2.049019014
93	2.048540619
94	2.048148182
95	2.047630741
96	2.047187558
97	2.046649028
98	2.046328805
99	2.045932775
100	2.045439317
101	2.045127455
102	2.044689788
103	2.044544729
104	2.044196256
105	2.043720658
106	2.043404975
107	2.043175915
108	2.042525676
109	2.042154143
110	2.041913967
111	2.041616208
112	2.041351096
113	2.04113837
114	2.040847729
115	2.04052914
116	2.040377171
117	2.039988296
118	2.039948292
119	2.039691313
120	2.039194856
121	2.038898935
122	2.038442722
123	2.038096559
124	2.037779053
125	2.03737671
126	2.037064376
127	2.037020919
128	2.036723902
129	2.036399581
130	2.036023699
131	2.035719229
132	2.035357402
133	2.035068807
134	2.034860494
135	2.034659777
136	2.034414344
137	2.034119583
138	2.034106322
139	2.033901544
140	2.033488281
141	2.033119888
142	2.032652073
143	2.032114163
144	2.031744205
145	2.031620456
146	2.031522011
147	2.031130227
148	2.030900447
149	2.030791268
150	2.030311173
151	2.030306591
152	2.029800911
153	2.029429471
154	2.029415196
155	2.029041742
156	2.028974897
157	2.028936621
158	2.0287916
159	2.028044642
160	2.027696136
161	2.027361287
162	2.02734179
163	2.026980695
164	2.026622503
165	2.026262114
166	2.026230127
167	2.025970554
168	2.025697409
169	2.025394511
170	2.02523949
171	2.025123869
172	2.024966056
173	2.024939196
174	2.024781389
175	2.024155185
176	2.024022873
177	2.023571647
178	2.023135533
179	2.022568039
180	2.022567666
181	2.022244615
182	2.021945935
183	2.021796322
184	2.021622738
185	2.021588988
186	2.021438717
187	2.021180763
188	2.02108267
189	2.020842045
190	2.020636313
191	2.020633533
192	2.020435989
193	2.020357648
194	2.020186964
195	2.020039324
196	2.020028828
197	2.019881816
198	2.019838467
199	2.019498471
200	2.019115022
201	2.018983107
202	2.018983102
203	2.018671317
204	2.018417898
205	2.018219649
206	2.01761264
207	2.017608127
208	2.017593037
209	2.017336222
210	2.016927146
211	2.01661854
212	2.016592921
213	2.016408672
214	2.016234275
215	2.016013581
216	2.015709233
217	2.015069205
218	2.014995154
219	2.014987828
220	2.014792236
221	2.014519542
222	2.014365346
223	2.014060249
224	2.013915301
225	2.013671505
226	2.013493106
227	2.013481318
228	2.013131729
229	2.012912162
230	2.012665866
231	2.012641425
232	2.012318701
233	2.012149428
234	2.011920603
235	2.0117984
236	2.011727047
237	2.011443911
238	2.011285117
239	2.010758342
240	2.010758175
241	2.010428581
242	2.010384652
243	2.010265219
244	2.010120234
245	2.009867519
246	2.009753698
247	2.009737872
248	2.009568443
249	2.00956844
250	2.009360105
251	2.009027222
252	2.008778382
253	2.008669984
254	2.008669581
255	2.00860914
256	2.00857905
257	2.008542185
258	2.00833943
259	2.008298639
260	2.008119852
261	2.008005211
262	2.00759667
263	2.007411409
264	2.007324867
265	2.007037062
266	2.007008572
267	2.006802372
268	2.006657182
269	2.006509629
270	2.006388226
271	2.005900438
272	2.005807595
273	2.005645974
274	2.005627869
275	2.005624004
276	2.005471359
277	2.005386163
278	2.005195386
279	2.0048238
280	2.004661383
281	2.004407059
282	2.004258697
283	2.004149893
284	2.003987616
285	2.003981527
286	2.00398068
287	2.003924113
288	2.003850939
289	2.003699638
290	2.003553129
291	2.003407287
292	2.003074788
293	2.002639757
294	2.002639619
295	2.00226778
296	2.001682004
297	2.00167548
298	2.001673729
299	2.001249261
300	2.001143564
301	2.000586279
302	2.000583413
303	2.000504626
304	2.00049146
305	2.00044914
306	2.000323333
307	2.000011777
308	1.999748713
309	1.999746054
310	1.999651806
311	1.999460222
312	1.999366585
313	1.999362126
314	1.999114368
315	1.99879647
316	1.998716521
317	1.998716327
318	1.998671019
319	1.998448111
320	1.998447977
321	1.998368486
322	1.99820464
323	1.99788557
324	1.997778796
325	1.997762688
326	1.997585371
327	1.997387585
328	1.997271778
329	1.996988434
330	1.996816772
331	1.99629285
332	1.996264332
333	1.995844135
334	1.995503224
335	1.995242555
336	1.994802848
337	1.994657692
338	1.994442246
339	1.994222581
340	1.993806396
341	1.993800271
342	1.99357079
343	1.993545754
344	1.993422608
345	1.993233096
346	1.993128201
347	1.993024333
348	1.992853737
349	1.992569873
350	1.9924582
351	1.992359307
352	1.992216762
353	1.991932808
354	1.991759488
355	1.991426607
356	1.991426489
357	1.991157877
358	1.990893263
359	1.990554184
360	1.990545129
361	1.990531868
362	1.990185444
363	1.99018409
364	1.990018552
365	1.99000493
366	1.990001948
367	1.989933821
368	1.98983082
369	1.989706326
370	1.989571364
371	1.989348738
372	1.989124012
373	1.989106988
374	1.988659204
375	1.988546319
376	1.988526382
377	1.988520754
378	1.988318287
379	1.988215472
380	1.988062217
381	1.988051062
382	1.987771645
383	1.987768079
384	1.987756476
385	1.98774979
386	1.987618478
387	1.987618246
388	1.98752392
389	1.987516225
390	1.987515344
391	1.987369373
392	1.987366142
393	1.987357815
394	1.987193078
395	1.987172998
396	1.986971144
397	1.986954408
398	1.986834738
399	1.986821349
400	1.986586039
401	1.986323184
402	1.986323083
403	1.986250277
404	1.986028651
405	1.985738997
406	1.985732333
407	1.985684872
408	1.985518409
409	1.985323893
410	1.985241752
411	1.98503023
412	1.984773764
413	1.984670732
414	1.984664517
415	1.984664421
416	1.984654635
417	1.984447172
418	1.984336905
419	1.984063859
420	1.983784416
421	1.983781888
422	1.983618114
423	1.983367032
424	1.983250271
425	1.983245366
426	1.983225718
427	1.983126501
428	1.983050212
