iter	Passed	Remaining
0	41	41674
1	58	29296
2	75	25071
3	92	22969
4	130	25908
5	162	26969
6	181	25689
7	282	35037
8	328	36178
9	373	37001
10	419	37739
11	436	35945
12	460	34993
13	481	33904
14	510	33509
15	546	33585
16	563	32578
17	578	31555
18	622	32135
19	647	31751
20	670	31245
21	706	31387
22	732	31100
23	754	30689
24	798	31132
25	821	30767
26	838	30230
27	854	29655
28	873	29240
29	892	28847
30	907	28373
31	930	28159
32	950	27858
33	968	27522
34	976	26910
35	999	26759
36	1016	26450
37	1039	26322
38	1072	26424
39	1120	26882
40	1163	27219
41	1195	27277
42	1215	27057
43	1250	27174
44	1276	27097
45	1319	27355
46	1338	27139
47	1354	26868
48	1376	26712
49	1398	26580
50	1451	27009
51	1488	27142
52	1521	27181
53	1575	27596
54	1614	27736
55	1642	27682
56	1667	27587
57	1681	27315
58	1730	27602
59	1745	27341
60	1762	27135
61	1778	26912
62	1806	26873
63	1828	26735
64	1836	26424
65	1860	26333
66	1890	26325
67	1921	26334
68	1945	26251
69	1969	26160
70	1977	25876
71	1997	25750
72	2018	25628
73	2047	25618
74	2087	25741
75	2124	25831
76	2148	25755
77	2160	25543
78	2182	25441
79	2215	25480
80	2241	25436
81	2274	25460
82	2297	25383
83	2332	25438
84	2358	25383
85	2393	25438
86	2412	25313
87	2437	25263
88	2463	25219
89	2487	25150
90	2515	25126
91	2562	25291
92	2693	26273
93	2763	26637
94	2825	26918
95	2849	26833
96	2876	26776
97	2896	26661
98	2916	26543
99	2934	26414
100	2954	26296
101	2974	26191
102	2997	26100
103	3013	25964
104	3037	25891
105	3058	25794
106	3085	25749
107	3107	25666
108	3135	25628
109	3156	25536
110	3176	25441
111	3201	25386
112	3231	25367
113	3254	25293
114	3276	25211
115	3296	25119
116	3326	25108
117	3345	25003
118	3353	24829
119	3377	24769
120	3400	24699
121	3420	24617
122	3441	24535
123	3467	24495
124	3487	24413
125	3504	24307
126	3527	24248
127	3537	24096
128	3554	24001
129	3573	23913
130	3597	23861
131	3626	23849
132	3650	23796
133	3673	23739
134	3693	23666
135	3713	23589
136	3735	23531
137	3755	23458
138	3761	23300
139	3777	23204
140	3797	23134
141	3818	23074
142	3841	23021
143	3862	22959
144	3883	22898
145	3904	22836
146	3925	22778
147	3946	22720
148	3966	22653
149	3989	22606
150	4010	22549
151	4015	22404
152	4034	22335
153	4052	22261
154	4063	22149
155	4082	22084
156	4106	22049
157	4116	21939
158	4131	21851
159	4157	21827
160	4172	21742
161	4197	21710
162	4210	21618
163	4228	21555
164	4251	21515
165	4277	21488
166	4284	21371
167	4305	21323
168	4323	21259
169	4343	21206
170	4369	21181
171	4397	21170
172	4421	21136
173	4437	21065
174	4456	21007
175	4476	20959
176	4494	20896
177	4516	20856
178	4538	20814
179	4558	20766
180	4562	20643
181	4592	20639
182	4624	20645
183	4644	20596
184	4663	20543
185	4684	20499
186	4707	20464
187	4725	20408
188	4746	20366
189	4763	20309
190	4778	20238
191	4782	20125
192	4798	20063
193	4818	20019
194	4846	20008
195	4863	19951
196	4868	19844
197	4893	19820
198	4909	19759
199	4932	19729
200	4952	19685
201	4975	19657
202	4979	19549
203	4995	19493
204	5020	19469
205	5037	19415
206	5054	19365
207	5058	19261
208	5070	19190
209	5092	19156
210	5113	19121
211	5133	19082
212	5167	19093
213	5186	19050
214	5211	19029
215	5235	19003
216	5257	18970
217	5274	18920
218	5296	18888
219	5312	18836
220	5334	18804
221	5370	18820
222	5398	18808
223	5419	18775
224	5438	18733
225	5457	18689
226	5481	18664
227	5487	18580
228	5511	18556
229	5533	18525
230	5554	18492
231	5577	18465
232	5594	18417
233	5626	18418
234	5646	18380
235	5664	18337
236	5681	18291
237	5700	18251
238	5719	18211
239	5744	18190
240	5747	18100
241	5763	18052
242	5783	18017
243	5808	17997
244	5827	17957
245	5845	17917
246	5867	17887
247	5875	17816
248	5889	17764
249	5892	17678
250	5910	17636
251	5929	17599
252	5954	17580
253	5982	17570
254	5986	17490
255	6014	17480
256	6022	17412
257	6031	17345
258	6059	17336
259	6076	17294
260	6097	17263
261	6121	17244
262	6139	17205
263	6155	17160
264	6186	17158
265	6203	17117
266	6228	17099
267	6253	17079
268	6272	17046
269	6292	17014
270	6311	16977
271	6329	16940
272	6356	16927
273	6380	16905
274	6409	16898
275	6413	16823
276	6435	16798
277	6460	16778
278	6487	16765
279	6506	16730
280	6527	16702
281	6546	16667
282	6575	16660
283	6597	16633
284	6623	16615
285	6634	16562
286	6642	16502
287	6670	16492
288	6694	16470
289	6717	16445
290	6744	16432
291	6762	16397
292	6794	16394
293	6812	16359
294	6815	16287
295	6837	16263
296	6859	16236
297	6881	16211
298	6889	16152
299	6911	16127
300	6929	16091
301	6949	16062
302	6957	16004
303	6988	16000
304	7018	15993
305	7063	16019
306	7091	16007
307	7118	15993
308	7148	15986
309	7159	15935
310	7179	15906
311	7207	15894
312	7243	15897
313	7246	15830
314	7274	15818
315	7302	15805
316	7331	15796
