FLD_ZONE,ZONE_SUBTY,femaIndex
V,,1
V0,,1
V01,,1
V02,,1
V03,,1
V04,,1
V05,,1
V06,,1
V07,,1
V08,,1
V09,,1
V1,,1
V10,,1
V11,,1
V12,,1
V13,,1
V14,,1
V15,,1
V16,,1
V17,,1
V18,,1
V19,,1
V2,,1
V20,,1
V21,,1
V22,,1
V23,,1
V24,,1
V25,,1
V26,,1
V27,,1
V28,,1
V29,,1
V3,,1
V30,,1
V4,,1
V5,,1
V6,,1
V7,,1
V8,,1
V9,,1
VE,,1
_100IC,,2
_500IC,,2
A,,2
A0,,2
A01,,2
A02,,2
A03,,2
A04,,2
A05,,2
A06,,2
A07,,2
A08,,2
A09,,2
A1,,2
A10,,2
A11,,2
A12,,2
A13,,2
A14,,2
A15,,2
A16,,2
A17,,2
A18,,2
A19,,2
A2,,2
A20,,2
A21,,2
A22,,2
A23,,2
A24,,2
A25,,2
A26,,2
A27,,2
A28,,2
A29,,2
A3,,2
A30,,2
A4,,2
A5,,2
A6,,2
A7,,2
A8,,2
A9,,2
A99,,2
AA,,2
AE,,2
AE23,,2
AEF,,2
AH,,2
AHB,,2
AO,,2
AOB,,2
AOVEL,,2
AR,,2
ARA,,2
ARAE,,2
ARE,,2
ARH,,2
ARO,,2
AS,,2
FPQ,,2
FWAE,,2
FWIC,,2
IN,,2
Open Water,,2
OPEN WATER,,2
X,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,2
X,1 PCT DEPTH LESS THAN 1 FOOT,2
X,"1 PCT FUTURE CONDITIONS, FLOODWAY",2
X,"1 PCT CONTAINED IN STRUCTURE, FLOODWAY",2
X,"1 PCT FUTURE IN STRUCTURE, FLOODWAY",2
B,,3
D,,3
OUT,,3
SHX,,3
UDES,,3
X500,,3
XG,,3
Xsheded,,3
X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD IN COASTAL ZONE,3
X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD IN COMBINED RIVERINE AND COASTAL ZONE,3
C,,4
XW,,4
X,AREA OF MINIMAL FLOOD HAZARD,4
X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD CONTAINED IN CHANNEL,4
X,1 PCT FUTURE CONDITIONS,4
X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD CONTAINED IN STRUCTURE,4
X,1 PCT DRAINAGE AREA LESS THAN 1 SQUARE MILE,4
X,AREA OF SPECIAL CONSIDERATION,4
X,"1 PCT FUTURE CONDITIONS, COMMUNITY ENCROACHMENT",4
X,1 PCT FUTURE CONDITIONS CONTAINED IN STRUCTURE,4
X,"1 PCT FUTURE IN STRUCTURE, COMMUNITY ENCROACHMENT",4
X,"1 PCT CONTAINED IN STRUCTURE, COMMUNITY ENCROACHMENT",4
X,,4
X,FLOWAGE EASEMENT AREA,4
ANI,,5
NMA,,5
NP,,5
Unknown,,5
AREA NOT INCLUDED,,5
